forecast_date,week_ending,predicted_heat_deaths_full_week,lower_approx_95_full_week,upper_approx_95_full_week,predicted_heat_deaths,lower_approx_95,upper_approx_95
2026-05-18,2026-05-24,2.2128220883195824,0,19.13668032257063,0.31611744118851176,0.0,2.733811474652947
2026-05-19,2026-05-24,2.2128220883195824,0,19.13668032257063,0.31611744118851176,0.0,2.733811474652947
2026-05-20,2026-05-24,2.2128220883195824,0,19.13668032257063,0.31611744118851176,0.0,2.733811474652947
2026-05-21,2026-05-24,2.2128220883195824,0,19.13668032257063,0.31611744118851176,0.0,2.733811474652947
2026-05-22,2026-05-24,2.2128220883195824,0,19.13668032257063,0.31611744118851176,0.0,2.733811474652947
2026-05-23,2026-05-24,2.2128220883195824,0,19.13668032257063,0.31611744118851176,0.0,2.733811474652947
2026-05-24,2026-05-24,2.2128220883195824,0,19.13668032257063,0.31611744118851176,0.0,2.733811474652947
2026-05-25,2026-05-31,3.123533677014892,0,20.047391911265937,0.44621909671641313,0.0,2.863913130180848
2026-05-26,2026-05-31,3.123533677014892,0,20.047391911265937,0.44621909671641313,0.0,2.863913130180848
2026-05-27,2026-05-31,3.123533677014892,0,20.047391911265937,0.44621909671641313,0.0,2.863913130180848
2026-05-28,2026-05-31,3.123533677014892,0,20.047391911265937,0.44621909671641313,0.0,2.863913130180848
2026-05-29,2026-05-31,3.123533677014892,0,20.047391911265937,0.44621909671641313,0.0,2.863913130180848
2026-05-30,2026-05-31,3.123533677014892,0,20.047391911265937,0.44621909671641313,0.0,2.863913130180848
2026-05-31,2026-05-31,3.123533677014892,0,20.047391911265937,0.44621909671641313,0.0,2.863913130180848
2026-06-01,2026-06-07,9.307987508433166,0,26.231845742684214,1.3297125012047382,0.0,3.7474065346691736
