,predicted_heat_deaths_full_week,lower_approx_95_full_week,upper_approx_95_full_week,lag_1_week_used,rolling_4_week_avg_used,days_inside_forecast_window,days_in_full_week,window_fraction_of_week,predicted_heat_deaths_for_window,lower_approx_95_for_window,upper_approx_95_for_window
2026-05-24,2.2128220883195824,0,19.13668032257063,1.521004651002567,0.9109561543270186,7,7,1.0,2.2128220883195824,0.0,19.13668032257063
2026-05-31,3.123533677014892,0,20.047391911265937,2.2128220883195824,1.3557279317952449,7,7,1.0,3.123533677014892,0.0,20.047391911265937
2026-06-07,9.307987508433166,0,26.231845742684214,3.123533677014892,1.96918655630917,1,7,0.14285714285714285,1.329712501204738,0.0,3.747406534669173
